Week,Day,Concept,Task,Level,Confidence,Completed,Submitted Links
1,5,JavaScript,Complete the 'Largest Number Checker' exercise,Beginner,0-10,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE
1,5,JavaScript,Complete the 'Landscape Mode Checker' exercise,Beginner,0-10,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE
1,5,JavaScript,Complete the 'Simple Quiz' exercise,Beginner,0-10,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE
1,5,JavaScript,Complete the 'Schnick-Schnack-Schnuck' exercise,Beginner,0-10,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE
