Week,Day,Concept,Task,Level,Confidence,Completed,Submitted Links
2,2,HTML,Update 'head' in the terms sheet (/user/progress.draft.terms.csv),Beginner,0-10,FALSE,Update FALSE to TRUE in the COMPLETED column
2,2,HTML,Active learning: Inspecting a simple example,Beginner,0-10,FALSE,Update FALSE to TRUE in the COMPLETED column
2,2,HTML,Active learning: Experiment with character encoding,Beginner,0-10,FALSE,Update FALSE to TRUE in the COMPLETED column
2,2,HTML,Active learning: The description's use in search engines,Beginner,0-10,FALSE,Update FALSE to TRUE in the COMPLETED column
2,2,HTML,Active learning: applying CSS and JavaScript to a page,Beginner,0-10,FALSE,Update FALSE to TRUE in the COMPLETED column
2,2,-,-,Beginner,0-10,FALSE,Update FALSE to TRUE in the COMPLETED column
