Week,Day,Concept,Task,Level,Confidence,Completed,Instructions
6,4,CSS 2 & Performance,Read 'Responsive Design',Beginner,0-10,FALSE,Update FALSE to TRUE in the COMPLETED column
6,4,CSS 2 & Performance,Read 'Beginner's guide to media queries',Beginner,0-10,FALSE,Update FALSE to TRUE in the COMPLETED column
6,4,CSS 2 & Performance,Read 'Legacy layout methods',Beginner,0-10,FALSE,Update FALSE to TRUE in the COMPLETED column
6,4,CSS 2 & Performance,Read 'Supporting older browsers',Beginner,0-10,FALSE,Update FALSE to TRUE in the COMPLETED column
6,4,CSS 2 & Performance,Complete the exercise 'Test your skills: Responsive web design and media queries',Beginner,0-10,FALSE,Upload the required assets to the corresponding folder ('/user/week06/exercises/rwd_skills/')
6,4,CSS 2 & Performance,EXTRAS: Complete the exercise 'Fundamental layout comprehension',Beginner,0-10,FALSE,Upload the required assets to the corresponding folder ('/user/week06/exercises/fundamental_layout_comprehension/')
