Week,Day,Concept,Task,Level,Confidence,Completed,Submitted Links
6,3,CSS 2 & Performance,Read 'Introduction to CSS layout',Beginner,0-10,FALSE,Update FALSE to TRUE in the COMPLETED column
6,3,CSS 2 & Performance,Read 'Normal Flow',Beginner,0-10,FALSE,Update FALSE to TRUE in the COMPLETED column
6,3,CSS 2 & Performance,Read 'Positioning',Beginner,0-10,FALSE,Update FALSE to TRUE in the COMPLETED column
6,3,CSS 2 & Performance,Read 'Flexbox',Beginner,0-10,FALSE,Update FALSE to TRUE in the COMPLETED column
6,3,CSS 2 & Performance,Complete the exercise 'Test your skills: Positioning',Beginner,0-10,FALSE,Upload the required assets to the corresponding folder ('/user/week06/exercises/position_skills/')
6,3,CSS 2 & Performance,Complete the exercise 'Test your skills: Flexbox',Beginner,0-10,FALSE,Upload the required assets to the corresponding folder ('/user/week06/exercises/flexbox_skills/')
